Doctor Who season,doctor actor,ep. no,episode title,from ,to,estimated?,planet,sub location,location,notes,source,,,,,,,
,,,,,,,,,,,,,,,,,,
season 25,,,,,,,,,,,,,,,,,,
7,McCoy,148,Remembrance of the Daleks ,1963,1963,,Earth,England,London,,,,,,,,,
7,McCoy,149,The Happiness Patrol ,2488,2488,,,Terra Alpha,,,,,,,,,,
7,McCoy,150,Silver Nemesis ,1606,1988,,Earth,England,,,,,,,,,,
7,McCoy,151,The Greatest Show in the Galaxy ,5089,5089,,Planet Segonax,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
season 26,,,,,,,,,,,,,,,,,,
7,McCoy,152,Battlefield ,793,1993,,Earth,England,Lake Vortigern,,,,,,,,,
7,McCoy,153,Ghost Light ,1883,1983,,Earth,England,"Gabriel's Chase, Perivale",,,,,,,,,
7,McCoy,154,The Curse of Fenric ,1943,1943,,Earth,England,"Maiden's Point, Northumberland",,,,,,,,,
7,McCoy,155,Survival ,1987,1987,,Earth,England,Perivale,,,,,,,,,
,,,,,,,,,,,,,,,,,,
television movie,,,,,,,,,,,,,,,,,,
8,McGann,-,Doctor Who,1999,1999,,Earth,USA,San Francisco,New Year's Eve,,,,,,,,
NEW SEASON 1,,,,,,,,,,,,,,,,,,
9,Eccleston,157,Rose,1883,2005,,Earth,England,London ,,,,,,,,,
9,Eccleston,158,The End Of The World,2005,5000000000,,space,,Earth orbit,,,,,,,,,
9,Eccleston,159,The Unquiet Dead,1869,1869,,Earth,England,Cardiff,poster on wall - dvd at 06:41,,,,,,,,
9,Eccleston,160,Aliens Of London,2006,2006,,Earth,England,London,,,,,,,,,
9,Eccleston,161,Dalek,2012,2012,,Earth,USA,Utah,the doctor - dvd at aprox 00:30,,,,,,,,
,Eccleston,162,The Long Game,200000,2012,,space,Earth's orbit,Satellite 5,,tardis.wikia,,,,,,,
9,Eccleston,163,Fathers Day,2005,1987,,Earth,England,London,,tardis.wikia,,,,,,,
,Eccleston,164,The Empty Child,2005,1941,,Earth,England,London,,,,,,,,,
9,Eccleston,165,Boom Town,2005,2006,,Earth,England,Cardiff,,tardis.wikia,,,,,,,
9,Eccleston,166,Bad Wolf / The Parting of the Ways,200100,200100,,Soace,Dark Space,Game Station,,,,,,,,,
XMAS SPECIAL,,,,,,,,,,,,,,,,,,
NEW SEASON 2,,,,,,,,,,,,,,,,,,
10,Tennant,201,New Earth,2006,5000000023,,New Earth,,New New New New New New New New New New New New New New York,"At the end of this episode, the Doctor takes the skin lady back in time.  No time given, that i can tell.",http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,202,Tooth and claw,2006,1879,,Earth,Scotland,"Torchwood house, Near Balmoral",,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,203,school Reunion,2007,2007,,Earth,England,Deffry Vale,,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,204,the Girl in the Fireplace,5000,1727,,,,Dagmar Cluster,I agree -- don't know if we'd be able to pin down the dates.,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,204,the Girl in the Fireplace,1727,1744,,Earth,France,Paris,,tardis.wikia.com ,,,,,,,
10,Tennant,204,the Girl in the Fireplace,1744,1753,,Earth,France,Versailles,,tardis.wikia.com ,,,,,,,
10,Tennant,204,the Girl in the Fireplace,1753,1758,,Earth,France,Versailles,,tardis.wikia.com ,,,,,,,
10,Tennant,204,the Girl in the Fireplace,1758,1764,,Earth,France,Versailles,,tardis.wikia.com ,,,,,,,
10,Tennant,205,Rise of the Cybermen,2007,2007,,Earth,England,London (Parallel),,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,206,The Idiot's Lantern,1953,1953,,Earth,England,London,,"dvd - ""eve of the coronation""",,,,,,,
10,Tennant,207,The satan pit,4302.1,2007,,?????,,Krop Tor,,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,209,Fear her,2012,2012,,Earth,England,London,"27th July for the torch lighting, if you want dates - ms",http://who-transcripts.atspace.com/,,,,,,,
XMAS SPECIAL,,,,,,,,,,,,,,,,,,
10,Tennant,xmas 2006,the Runaway Bride,2007,-5000000000,,Earth,England,London,,http://who-transcripts.atspace.com/,,,,,,,
NEW SEASON 3,,,,,,,,,,,,,,,,,,
10,Tennant,302,The Shakespeare Code,2008,1599,,Earth,England,London,,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,303,Gridlock,5000000053,5000000053,,New Earth,,New New New New New New New New New New New New New New York,"e - but based on 5000000000 + time for infrastructure to be built plus ""24 years driving""",http://who-transcripts.atspace.com/,,,,,,,
